codigo|nombre|total
C00001|Cliente 1|1.25
C00002|Cliente 2|2.50
C00003|Cliente 3|3.75
C00004|Cliente 4|5.00
C00005|Cliente 5|6.25
C00006|Cliente 6|7.50
C00007|Cliente 7|8.75
C00008|Cliente 8|10.00
C00009|Cliente 9|11.25
C00010|Cliente 10|12.50
C00011|Cliente 11|13.75
C00012|Cliente 12|15.00
C00013|Cliente 13|16.25
C00014|Cliente 14|17.50
C00015|Cliente 15|18.75
C00016|Cliente 16|20.00
C00017|Cliente 17|21.25
C00018|Cliente 18|22.50
C00019|Cliente 19|23.75
C00020|Cliente 20|25.00
C00021|Cliente 21|26.25
C00022|Cliente 22|27.50
C00023|Cliente 23|28.75
C00024|Cliente 24|30.00
C00025|Cliente 25|31.25
C00026|Cliente 26|32.50
C00027|Cliente 27|33.75
C00028|Cliente 28|35.00
C00029|Cliente 29|36.25
C00030|Cliente 30|37.50
C00031|Cliente 31|38.75
C00032|Cliente 32|40.00
C00033|Cliente 33|41.25
C00034|Cliente 34|42.50
C00035|Cliente 35|43.75
C00036|Cliente 36|45.00
C00037|Cliente 37|46.25
C00038|Cliente 38|47.50
C00039|Cliente 39|48.75
C00040|Cliente 40|50.00
C00041|Cliente 41|51.25
C00042|Cliente 42|52.50
C00043|Cliente 43|53.75
C00044|Cliente 44|55.00
C00045|Cliente 45|56.25
C00046|Cliente 46|57.50
C00047|Cliente 47|58.75
C00048|Cliente 48|60.00
C00049|Cliente 49|61.25
C00050|Cliente 50|62.50
C00051|Cliente 51|63.75
C00052|Cliente 52|65.00
C00053|Cliente 53|66.25
C00054|Cliente 54|67.50
C00055|Cliente 55|68.75
C00056|Cliente 56|70.00
C00057|Cliente 57|71.25
C00058|Cliente 58|72.50
C00059|Cliente 59|73.75
C00060|Cliente 60|75.00
C00061|Cliente 61|76.25
C00062|Cliente 62|77.50
C00063|Cliente 63|78.75
C00064|Cliente 64|80.00
C00065|Cliente 65|81.25
C00066|Cliente 66|82.50
C00067|Cliente 67|83.75
C00068|Cliente 68|85.00
C00069|Cliente 69|86.25
C00070|Cliente 70|87.50
C00071|Cliente 71|88.75
C00072|Cliente 72|90.00
C00073|Cliente 73|91.25
C00074|Cliente 74|92.50
C00075|Cliente 75|93.75
C00076|Cliente 76|95.00
C00077|Cliente 77|96.25
C00078|Cliente 78|97.50
C00079|Cliente 79|98.75
C00080|Cliente 80|100.00
C00081|Cliente 81|101.25
C00082|Cliente 82|102.50
C00083|Cliente 83|103.75
C00084|Cliente 84|105.00
C00085|Cliente 85|106.25
C00086|Cliente 86|107.50
C00087|Cliente 87|108.75
C00088|Cliente 88|110.00
C00089|Cliente 89|111.25
C00090|Cliente 90|112.50
